Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: blocks,Spreadsheet: randomise,Spreadsheet: type,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: feedback
11,1758454923563,21/09/2025 11:42,1758458523563,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,5,post_single,post,yruilm,1,action,surprise,16349,16349,16360,16349,16349,16360,1,11,0,react,Social Media,Social Media,1,object-19,post_single,daily_hack_zone,Cooking secret 🤫 #KitchenHack #LifeHacks #WhiskTrick #SmartTips #EverydayHacks#cooking #momhacks,avo.gif,avoID.png,6, ,,3,,,,,,,lia_m,Great - if you can find a ripe one!,sm_1,1,filler,,,
12,1758454934383,21/09/2025 11:42,1758458534383,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x349,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,5,post_single,post,yruilm,1,continue,,27168,27150,27168,27168,27150,27168,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,daily_hack_zone,Cooking secret 🤫 #KitchenHack #LifeHacks #WhiskTrick #SmartTips #EverydayHacks#cooking #momhacks,avo.gif,avoID.png,6, ,,3,,,,,,,lia_m,Great - if you can find a ripe one!,sm_1,1,filler,,,
13,1758454934395,21/09/2025 11:42,1758458534395,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x349,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,5,post_single,post,yruilm,1,response,surprise,16349,27150,27168,16349,27150,27168,1,10819,0,react,Social Media,Social Media,1,object-19,post_single,daily_hack_zone,Cooking secret 🤫 #KitchenHack #LifeHacks #WhiskTrick #SmartTips #EverydayHacks#cooking #momhacks,avo.gif,avoID.png,6, ,,3,,,,,,,lia_m,Great - if you can find a ripe one!,sm_1,1,filler,,,
14,1758454945701,21/09/2025 11:42,1758458545701,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,6,post_single,post,yruilm,1,continue,,11334,11316,11334,11334,11316,11334,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Pauline G,Selling my handmade beautiful jewellery in Liverpool - this weekend. Please visit and buy yourself some jewellery you never knew you needed! ,jewel.jpg,pg.jpg,,,,,,,,,,,,,sm_1,1,filler,,,
15,1758454952716,21/09/2025 11:42,1758458552716,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,7,post_single,post,yruilm,1,action,like,7031,7031,7045.000000000015,7031,7031,7045.000000000015,1,14.000000000014552,0,react,Social Media,Social Media,1,object-19,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,sm_1,1,filler,,,
16,1758454956401,21/09/2025 11:42,1758458556401,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,7,post_single,post,yruilm,1,action,share,10715,10715,10730,10715,10715,10730,1,15,0,share,Social Media,Social Media,1,object-19,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,sm_1,1,filler,,,
17,1758454958249,21/09/2025 11:42,1758458558249,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,7,post_single,post,yruilm,1,continue,,12564,12548,12564,12564,12548,12564,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,sm_1,1,filler,,,
18,1758454958251,21/09/2025 11:42,1758458558251,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,7,post_single,post,yruilm,1,response,share,10715,12548,12564,10715,12548,12564,1,1849,0,share,Social Media,Social Media,1,object-19,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,sm_1,1,filler,,,
19,1758454958252,21/09/2025 11:42,1758458558252,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,7,post_single,post,yruilm,1,response,like,7031,12548,12564,7031,12548,12564,1,5533,0,react,Social Media,Social Media,1,object-19,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,sm_1,1,filler,,,
20,1758454965566,21/09/2025 11:42,1758458565566,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,8,post_single,post,yruilm,1,continue,,7334,7317,7334,7334,7317,7334,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,fashion_now567,Last Day 🔥 Promotion 50% OFF A Bluetooth fashion smartwatch.🔥 $85.69 redcued to $59.99 Save 30%. HURRY! ONLY 45 LEFT IN STOCK. 98% customer buy 2-4 items to use daily and gifts for their beloved one. Sale ending in 2:43 hours,watch1.jpg,,87,,,45,13,,7,,,,fangirl444,GREAT!!!! ARRIVED QUICKLY AND SAVED ££££,sm_1,1,filler,,,
21,1758454967269,21/09/2025 11:42,1758458567269,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,memory instructions,instr,lposw7,1,continue,,1718,1700,1718,1718,1700,1718,1,0,0,,Click To Continue,Continue Button,2,object-42,memory instructions,,,,,,,,,,,,,,,,,test_1,,,,,
22,1758454969204,21/09/2025 11:42,1758458569204,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,test item,ISI,jb9xyl,1,continue,,1966,1966,1966,1966,1966,1966,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,,,,,,,,,,,,,,,,,test_1,2,,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares
23,1758454972814,21/09/2025 11:42,1758458572814,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,test item,test,ruwiaf,2,response,true,3600,3583,3600,3600,3583,3600,0,0,0,,Click Response,true response,8,object-13,test item,,,,,,,,,,,,,,,,,test_1,2,,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares
24,1758454975630,21/09/2025 11:42,1758458575630,1,21/09/2025 13:42,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,test item,test,ruwiaf,2,response,false,6407,6400,6407,6407,6400,6407,1,0,0,,Click Response,false response,9,object-11,test item,,,,,,,,,,,,,,,,,test_1,2,,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares
25,1758454981016,21/09/2025 11:43,1758458581016,1,21/09/2025 13:43,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,test item,test,ruwiaf,2,response,next,11800,11783,11800,11800,11783,11800,0,0,0,,Click Response,Click To Continue,7,object-39,test item,,,,,,,,,,,,,,,,,test_1,2,,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares
26,1758454982953,21/09/2025 11:43,1758458582953,1,21/09/2025 13:43,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,2,test item,ISI,jb9xyl,1,continue,,1966,1966,1966,1966,1966,1966,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,,,,,,,,,,,,,,,,,test_1,2,,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence
27,1758454988680,21/09/2025 11:43,1758458588680,1,21/09/2025 13:43,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,2,test item,test,ruwiaf,2,response,true,5717,5700,5717,5717,5700,5717,1,0,0,,Click Response,true response,8,object-13,test item,,,,,,,,,,,,,,,,,test_1,2,,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence
28,1758454991780,21/09/2025 11:43,1758458591780,1,21/09/2025 13:43,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,2,test item,test,ruwiaf,2,response,true,8817,8800,8817,8817,8800,8817,1,0,0,,Click Response,true response,8,object-13,test item,,,,,,,,,,,,,,,,,test_1,2,,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence
29,1758454992482,21/09/2025 11:43,1758458592482,1,21/09/2025 13:43,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,2,test item,test,ruwiaf,2,response,false,9517,9500,9517,9517,9500,9517,0,0,0,,Click Response,false response,9,object-11,test item,,,,,,,,,,,,,,,,,test_1,2,,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence
