Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: slider_prompt,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: blocks,Spreadsheet: randomise,Spreadsheet: type,Spreadsheet: left_slide,Spreadsheet: right_slider
11,1758462602188,21/09/2025 13:50:02,1758466202188,1,21/09/2025 15:50:02,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,5,post_single,Screen 1,yruilm,1,continue,,4043,4037,4043,4043,4037,4043,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,zachking,Guess the top speed of the Japanese bullet train!,train-ezgif.com-loop-count.gif,train.png,,453,3,322,,225,,,,,,,,social_media,1,filler,,
12,1758462615061,21/09/2025 13:50:15,1758466215061,1,21/09/2025 15:50:15,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,6,post_single,Screen 1,yruilm,1,action,heart,12878,12878,12879,12878,12878,12879,1,1,0,react,Social Media,Social Media,1,object-19,post_single,chad_s,There is no in between 🐶😂❤️,puppy image.png,puppyID.png,57,2,,,45,32,,,,,,,,social_media,1,filler,,
13,1758462616438,21/09/2025 13:50:16,1758466216438,1,21/09/2025 15:50:16,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,6,post_single,Screen 1,yruilm,1,continue,,14256,14247,14256,14256,14247,14256,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,chad_s,There is no in between 🐶😂❤️,puppy image.png,puppyID.png,57,2,,,45,32,,,,,,,,social_media,1,filler,,
14,1758462616439,21/09/2025 13:50:16,1758466216439,1,21/09/2025 15:50:16,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,6,post_single,Screen 1,yruilm,1,response,heart,12878,14247,14256,12878,14247,14256,1,1378,0,react,Social Media,Social Media,1,object-19,post_single,chad_s,There is no in between 🐶😂❤️,puppy image.png,puppyID.png,57,2,,,45,32,,,,,,,,social_media,1,filler,,
15,1758462617972,21/09/2025 13:50:17,1758466217972,1,21/09/2025 15:50:17,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,7,post_single,Screen 1,yruilm,1,continue,,1543,1532,1543,1543,1532,1543,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,HistoryFeels,"Nine days after Star Wars opened in 1977, Alec Guinness (Obi-Wan Kenobi) wrote in his diary: ‘Am pinning my hopes on Star Wars percentage which could bring me £100K or more if it does Jaws business, as predicted.’ He ended up earning an estimated $95 million for what amounted to 20 minutes of screen time.
When Star Wars premiered in May 1977, even its cast and crew had little idea of the cultural juggernaut it would become. Alec Guinness, already an accomplished actor with an Academy Award to his name, viewed his role as Obi-Wan Kenobi with some skepticism. In fact, he reportedly found some of the dialogue clunky and even doubted whether the film would resonate with audiences. Yet, shrewdly, Guinness negotiated a deal that included a small percentage of the film’s profits—something highly unusual at the time for an actor in his position.
Just nine days after the movie’s release, Guinness confided in his diary that he was hopeful the percentage might yield him around £100,000 if the film managed to perform like Spielberg’s Jaws. What unfolded was beyond his imagination: Star Wars exploded into a worldwide phenomenon, earning hundreds of millions and spawning a multi-decade franchise. Guinness’s share ultimately netted him an estimated $95 million over the years for less than half an hour of actual screen time.
His decision remains one of the most legendary deals in Hollywood history—a testament to foresight, negotiation, and a little bit of luck. Obi-Wan Kenobi became not only an iconic character but also a financial windfall Guinness could never have predicted.",star wars image.jpg,starwars ID.png,,76,,45,,,55,,,,,,,social_media,1,filler,,
16,1758462621738,21/09/2025 13:50:21,1758466221738,1,21/09/2025 15:50:21,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,8,post_single,Screen 1,yruilm,1,continue,,3777,3770,3777,3777,3770,3777,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,North London Council,"🌳 Help water our street trees this summer 🌞 Our street trees are feeling the heat and could use a little extra help to stay healthy and green 🥵 We’re lucky to have over 2,500 young trees across the borough, and while our teams are out daily watering them, young trees need up to 80 litres of water a week — especially during hot, dry weather.
Here’s how you can help: 💧If you’re walking by, top up the green watering bag,  pour water into the pipe, or water the soil around the tree 🚰 You can reuse rainwater, bath water, or even leftover washing-up water (it’s safe for the trees!) 🌅  Try to water in the morning or evening when it’s cooler — but any time helps. Trees clean our air, cool our streets, support birds and insects, and make our neighbourhoods more beautiful. Let’s return the favour and help them thrive! Thank you for helping to support our local trees 🙏",tree1.jpg,londoncouncil.jpg,,24,3,6,1,,,,,,,,,social_media,2,trees,,
17,1758462627706,21/09/2025 13:50:27,1758466227706,1,21/09/2025 15:50:27,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,9,post_single,Screen 1,yruilm,1,continue,,5972,5955,5972,5972,5955,5972,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,daily_hack_zone,Cooking secret 🤫 #KitchenHack #LifeHacks #WhiskTrick #SmartTips #EverydayHacks#cooking #momhacks,avo.gif,avoID.png,6, ,,3,,,,,,,,lia_m,Great - if you can find a ripe one!,social_media,1,filler,,
18,1758462664474,21/09/2025 13:51:04,1758466264474,1,21/09/2025 15:51:04,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,10,post_single,Screen 1,yruilm,1,continue,,36788,36781,36788,36788,36781,36788,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Hugo Spiers,"Fancy backing a film, supporting a crazy research expedition and helping enhance the lives of people in one of the most remote parts of our planet... ?! In 3 weeks I'll be leading a research expedition to understand the incredible knoweldge of indigenous sailors of the Marshall Islands. We we will be making a documentary about this research and bringing food and fishing gear to the atoll of Aur. Please donate $5 for our crowd funder!",hugopost.jpg,hugo.jpg,,,,4,3,,,,,,,,,social_media,1,filler,,
19,1758462665207,21/09/2025 13:51:05,1758466265207,1,21/09/2025 15:51:05,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,11,post_single,Screen 1,yruilm,1,continue,,740.0000000000146,734,740.0000000000146,740.0000000000146,734,740.0000000000146,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,lyrics art,,lyricsPic.png,lyricsID.png,2,,,,,,,,,,,,,social_media,1,filler,,
20,1758462674613,21/09/2025 13:51:14,1758466274613,1,21/09/2025 15:51:14,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,12,post_single,Screen 1,yruilm,1,continue,,9412,9407,9412,9412,9407,9412,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Barbel fishing,"I really can't remember a summer when I've spent so little time barbel fishing. It's been like 'groundhog day' week after week the Severn has remained low - only water from Clywedog, Lake Vyrnwy and various boreholes stopped the river being reduced to a mere trickle in places.
We've had to wait until halfway through September for a decent lump of water. Today at Shrewsbury, the river was carrying just over a metre of lovely coloured, fresh water - having risen steadily overnight.
Yesterday afternoon I fished pellets for 3 barbel and two chub and the river was just starting to colour up as I called it a day. Today's session was the usual one rod approach, but I'd decided that a meat attack might be the best bet to find a few bigger specimens.
There was nothing complicated about my set-up, a 3oz lead and a foot long hooklink armed with a size four hook. To add a bit of extra feed into the swim, I'd made up some PVA bags containing pellets and small pieces of luncheon meat.
Needless to say, sunken weed and twigs were ever present. That's only to be expected with the first floodwater of the season - but casting upstream and relatively close to the bank went some way to alleviating the problem.
Happily, my four hour session turned out to be very successful - six good sized barbel reminded me what I had been missing during the hot summer. Strangely enough, the biggest barbel was the first fish of the session and in lovely autumn sunshine too.",fish pic.png,fishID.png,2,,,,1,,4,,,,,fishyPete,Nice!,social_media,1,filler,,
21,1758462675767,21/09/2025 13:51:15,1758466275767,1,21/09/2025 15:51:15,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,13,post_single,Screen 1,yruilm,1,continue,,1159,1151,1159,1159,1151,1159,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,natgeo,"Photo by @chrisburkard | Russia's remote, volcanic Kuril Islands sit along the Pacific Ring of Fire where runoff from the land creates dramatic color shifts in the water. The vibrant patterns are caused by suspended minerals and silt, constantly reshaped by tides and wind. In a region defined by isolation and tectonic unrest, even the ocean becomes a canvas of motion and change.",natgeo.png,natgoeID.png,45,98,,3,22,,,,,,,,,social_media,1,filler,,
22,1758462676790,21/09/2025 13:51:16,1758466276790,1,21/09/2025 15:51:16,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,14,post_single,Screen 1,yruilm,1,continue,,1031,1017,1031,1031,1017,1031,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Washington Post,"Former president Barack Obama and former first lady Michelle Obama addressed speculation about a divorce in her new podcast episode. ""She took me back!"" Barack Obama joked. ""It was touch and go for awhile!""",filler_ob.jpg,wp.jpg,,,,212,,,,,,,,,,social_media,1,filler,,
23,1758462679202,21/09/2025 13:51:19,1758466279202,1,21/09/2025 15:51:19,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,15,post_single,Screen 1,yruilm,1,continue,,2426,2420,2426,2426,2420,2426,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,local dave,Just wanted to recommend a place to eat called Sarvs Slice. It serves Detroit style pizza and I have  been there twice this week. Absolutely amazing.,slice.png,slice ID.png,1,,,,4,,,,2,,,Chet_apol,"I do want to try Detroit style ,and that looks very good. Will check it out ",social_media,1,filler,,
24,1758462683674,21/09/2025 13:51:23,1758466283674,1,21/09/2025 15:51:23,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,16,post_single,Screen 1,yruilm,1,action,like,4470,4470,4478,4470,4470,4478,1,8,0,react,Social Media,Social Media,1,object-19,post_single,history of the World,"On an ordinary summer morning in 2005, a bored and restless Canadian named Kyle MacDonald sat at his desk, staring at a small red paperclip lying nearby. Out of nowhere, a wild, ridiculous idea struck him: *“What if I could trade this paperclip… and keep trading up until I get a house?”* His heart pounded. He laughed at the absurdity—but then decided to give it a try.
His first trade was simple: he posted a photo of the red paperclip online and someone offered him a novelty fish-shaped pen in exchange. That pen led to a hand-sculpted doorknob, then a camping stove, then a generator, and eventually a snowmobile. As his trades gained attention, people from across the internet followed his journey, and the offers became more bizarre and exciting. At one point, he traded for a recording contract, then for a role in an actual Hollywood film.
Finally, after just 14 trades, the town of Kipling in Saskatchewan made him an unbelievable offer: *“Give us the movie role, and we’ll give you a house.”* Kyle accepted—and moved into his new home, keys in hand. What began as a joke became an internet legend. He wrote a book called *One Red Paperclip""* and inspired millions with his creative thinking and fearless ambition. Sometimes, all it takes to change your life is a tiny red paperclip—and the courage to start your own crazy game.""",paperclip pic.png,paperclip ID.png,23,13,5,55,,,,,,,,,,social_media,1,filler,,
25,1758462684575,21/09/2025 13:51:24,1758466284575,1,21/09/2025 15:51:24,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,16,post_single,Screen 1,yruilm,1,continue,,5378,5371,5378,5378,5371,5378,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,history of the World,"On an ordinary summer morning in 2005, a bored and restless Canadian named Kyle MacDonald sat at his desk, staring at a small red paperclip lying nearby. Out of nowhere, a wild, ridiculous idea struck him: *“What if I could trade this paperclip… and keep trading up until I get a house?”* His heart pounded. He laughed at the absurdity—but then decided to give it a try.
His first trade was simple: he posted a photo of the red paperclip online and someone offered him a novelty fish-shaped pen in exchange. That pen led to a hand-sculpted doorknob, then a camping stove, then a generator, and eventually a snowmobile. As his trades gained attention, people from across the internet followed his journey, and the offers became more bizarre and exciting. At one point, he traded for a recording contract, then for a role in an actual Hollywood film.
Finally, after just 14 trades, the town of Kipling in Saskatchewan made him an unbelievable offer: *“Give us the movie role, and we’ll give you a house.”* Kyle accepted—and moved into his new home, keys in hand. What began as a joke became an internet legend. He wrote a book called *One Red Paperclip""* and inspired millions with his creative thinking and fearless ambition. Sometimes, all it takes to change your life is a tiny red paperclip—and the courage to start your own crazy game.""",paperclip pic.png,paperclip ID.png,23,13,5,55,,,,,,,,,,social_media,1,filler,,
26,1758462684575,21/09/2025 13:51:24,1758466284575,1,21/09/2025 15:51:24,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,16,post_single,Screen 1,yruilm,1,response,like,4470,5371,5379,4470,5371,5379,1,909,0,react,Social Media,Social Media,1,object-19,post_single,history of the World,"On an ordinary summer morning in 2005, a bored and restless Canadian named Kyle MacDonald sat at his desk, staring at a small red paperclip lying nearby. Out of nowhere, a wild, ridiculous idea struck him: *“What if I could trade this paperclip… and keep trading up until I get a house?”* His heart pounded. He laughed at the absurdity—but then decided to give it a try.
His first trade was simple: he posted a photo of the red paperclip online and someone offered him a novelty fish-shaped pen in exchange. That pen led to a hand-sculpted doorknob, then a camping stove, then a generator, and eventually a snowmobile. As his trades gained attention, people from across the internet followed his journey, and the offers became more bizarre and exciting. At one point, he traded for a recording contract, then for a role in an actual Hollywood film.
Finally, after just 14 trades, the town of Kipling in Saskatchewan made him an unbelievable offer: *“Give us the movie role, and we’ll give you a house.”* Kyle accepted—and moved into his new home, keys in hand. What began as a joke became an internet legend. He wrote a book called *One Red Paperclip""* and inspired millions with his creative thinking and fearless ambition. Sometimes, all it takes to change your life is a tiny red paperclip—and the courage to start your own crazy game.""",paperclip pic.png,paperclip ID.png,23,13,5,55,,,,,,,,,,social_media,1,filler,,
27,1758462684578,21/09/2025 13:51:24,1758466284578,1,21/09/2025 15:51:24,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,108488,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END OF FILE
